eventId;parentEventId;eventDate;year;month;samplingProtocol;locality;decimalLatitude;decimalLongitude;providedScientificName;scientificName;measurementRemarks;bodyLength;ashFreeDryWeight;dryWeight;eunisHabitatsTypeName
8;8;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.93242;9.46993;Ancylus fluviatilis;Ancylus fluviatilis;30;2.737;0.331;1.003;Surface running waters
10;8;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.93242;9.46993;Ancylus fluviatilis;Ancylus fluviatilis;30;0.842;0.005;;Surface running waters
10;8;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.93242;9.46993;Ancylus fluviatilis;Ancylus fluviatilis;30;0.947;0.008;;Surface running waters
10;8;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.93242;9.46993;Ancylus fluviatilis;Ancylus fluviatilis;30;1.579;0.038;;Surface running waters
10;8;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.93242;9.46993;Ancylus fluviatilis;Ancylus fluviatilis;30;1.579;0.038;;Surface running waters
11;8;07/07/1997;1997;7;leaf packs technique (phragmites australis);flumendosa;39.93242;9.46993;Ancylus fluviatilis;Ancylus fluviatilis;30;2.105;0.092;;Surface running waters
8;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;2.632;0.282;0.856;Surface running waters
8;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;3.684;0.568;1.721;Surface running waters
8;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;3.947;0.751;2.277;Surface running waters
8;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;4.105;0.946;2.866;Surface running waters
8;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;4.105;0.915;2.772;Surface running waters
8;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;4.211;0.803;;Surface running waters
8;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;4.474;0.958;2.904;Surface running waters
8;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;4.526;1.142;3.461;Surface running waters
8;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;4.579;1.158;3.508;Surface running waters
8;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;4.737;1.173;3.554;Surface running waters
9;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;2.895;0.362;1.097;Surface running waters
9;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;3;0.362;1.098;Surface running waters
9;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;3.263;0.446;1.353;Surface running waters
9;15;06/01/1997;1997;1;leaf packs technique (phragmites australis);flumendosa;39.47101;9.53935;Ancylus fluviatilis;Ancylus fluviatilis;30;3.421;0.543;1.647;Surface running waters
