catalogNumber;eventId;parentEventId;eventDate;locality;decimalLatitude;decimalLongitude;phylum;class;family;order;providedScientificName;scientificName;ashFreeDryWeight;ashWeight;dryWeight;bodyLength
14554;a;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.795563381;24.03;1.047207294;9.59
14579;d;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.795563381;24.03;1.047207294;9.59
13966;d;1;12/06/08;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.813293943;24.03;1.070546194;9.67
14288;a;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.82225071;24.03;1.082336067;9.71
14584;d;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.824499459;24.03;1.085296116;9.72
13946;a;1;12/06/08;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.826752037;24.03;1.088261204;9.73
14124;e;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.831268687;24.03;1.094206511;9.75
14108;d;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.838072437;24.03;1.10316235;9.78
14302;c;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.840348038;24.03;1.106157744;9.79
14315;d;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.847197928;24.03;1.115174316;9.82
13948;a;1;12/06/08;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.867955984;24.03;1.142498334;9.91
14073;a;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.867955984;24.03;1.142498334;9.91
13958;b;1;12/06/08;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.872611466;24.03;1.148626387;9.93
14102;c;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.877282476;24.03;1.15477488;9.95
14099;c;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.886671163;24.03;1.167133294;9.99
14072;a;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.89138888;24.03;1.173343267;10.01
14287;a;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.893753591;24.03;1.176455958;10.02
14314;d;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.908023951;24.03;1.195240162;10.08
14566;b;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.910416051;24.03;1.198388904;10.09
14089;c;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.917615896;24.03;1.207866126;10.12
14120;e;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.924851115;24.03;1.21738991;10.15
14319;e;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.924851115;24.03;1.21738991;10.15
14317;e;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.934553217;24.03;1.230160875;10.19
14077;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.949224866;24.03;1.2494733;10.25
13961;b;1;12/06/08;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.996628971;24.03;1.311871753;10.44
14582;d;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.017020804;24.03;1.338713708;10.52
14092;c;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.03248392;24.03;1.359067947;10.58
14311;d;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.042873555;24.03;1.372743918;10.62
14328;e;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.042873555;24.03;1.372743918;10.62
14074;a;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.048092699;24.03;1.379613926;10.64
14321;e;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.053328089;24.03;1.386505316;10.66
14289;b;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.069131926;24.03;1.40730805;10.72
14323;e;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.093113324;24.03;1.438874983;10.81
14300;c;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.098487599;24.03;1.445949189;10.83
14595;e;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.106579829;24.03;1.456601066;10.86
14324;e;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.111995225;24.03;1.4637294;10.88
14325;e;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.153137463;24.03;1.5178853;11.03
14552;a;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.169855836;24.03;1.539891846;11.09
14290;b;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.172656821;24.03;1.543578808;11.1
14105;d;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.195215211;24.03;1.573272623;11.18
14079;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.198053861;24.03;1.577009162;11.19
13964;b;1;12/06/08;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.220914357;24.03;1.607100641;11.27
14119;e;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.238236764;24.03;1.629902282;11.33
14596;e;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.282210373;24.03;1.687785143;11.48
14312;d;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.285175999;24.03;1.691688824;11.49
13963;b;1;12/06/08;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.303059519;24.03;1.715229063;11.55
14316;e;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.339289848;24.03;1.762919373;11.67
14088;c;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.363788255;24.03;1.795166848;11.75
14090;c;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.363788255;24.03;1.795166848;11.75
14080;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.593505241;24.03;2.0975454;12.46
14082;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.603705402;24.03;2.110971965;12.49
14551;a;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.637999422;24.03;2.156113494;12.59
14564;b;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.669251556;24.03;2.197250963;12.68
14081;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.711495205;24.03;2.252856661;12.8
14547;a;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.794310062;24.03;2.361866608;13.03
14083;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.816316125;24.03;2.390833388;13.09
14299;c;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;1.883340709;24.03;2.479058457;13.27
14076;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;2.117809775;24.03;2.787692214;13.87
14615;e;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Idoteidae;Isopoda;Idotea balthica;Idotea balthica;0.033195526;34.08;0.05035729;2.72
13970;a;1;12/06/08;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Idoteidae;Isopoda;Idotea balthica;Idotea balthica;0.24073584;34.08;0.365193932;5.63
14618;b;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Lekanesphaera monodi;Lekanesphaera monodi;0.338126977;60.04;0.846163606;2.87
14623;d;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Lekanesphaera monodi;Lekanesphaera monodi;0.344220821;60.04;0.861413467;2.89
14617;a;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Lekanesphaera monodi;Lekanesphaera monodi;0.392067587;60.04;0.981150117;3.04
14621;c;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Lekanesphaera monodi;Lekanesphaera monodi;0.392067587;60.04;0.981150117;3.04
14619;c;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Lekanesphaera monodi;Lekanesphaera monodi;1.606235528;60.04;4.019608428;5.26
14616;a;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Lekanesphaera monodi;Lekanesphaera monodi;1.759734865;60.04;4.403740903;5.45
14620;c;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Lekanesphaera monodi;Lekanesphaera monodi;1.957136648;60.04;4.89773936;5.68
14622;d;4;12/06/08;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Lekanesphaera monodi;Lekanesphaera monodi;3.337655734;60.04;8.352491826;6.99
14125;b;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Leptocheliidae;Tanaidacea;Leptochelia savignyi;Leptochelia savignyi;0.054072855;30.85;0.078196464;3.12
14126;e;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Melitidae;Amphipoda;Melita palmata;Melita palmata;;;;
14364;d;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.020107655;19.85;0.025087529;2.39
14369;e;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.026000181;19.85;0.032439403;2.7
14334;b;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.034315193;19.85;0.042813715;3.08
14373;e;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.037932022;19.85;0.047326291;3.23
14144;d;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.040193683;19.85;0.050148076;3.32
14140;d;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.040705627;19.85;0.050786808;3.34
14143;d;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.042261902;19.85;0.052728512;3.4
14370;e;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.047951086;19.85;0.059826682;3.61
14142;d;2;12/06/08;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.051371889;19.85;0.064094684;3.73
14367;e;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.052833817;19.85;0.065918674;3.78
14336;b;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.053721325;19.85;0.067025983;3.81
14346;c;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.057042066;19.85;0.07116914;3.92
14333;b;3;12/06/08;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Aoridae;Amphipoda;Microdeutopus gryllotalpa;Microdeutopus gryllotalpa;0.057657088;19.85;0.071936479;3.94
