catalogNumber;eventId;parentEventId;eventDate;locality;decimalLatitude;decimalLongitude;phylum;class;family;order;providedScientificName;scientificName;ashFreeDryWeight;ashWeight;dryWeight;bodyLength
756;e;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.700833;91.95;8.706;6.13
748;e;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.944909;91.95;11.738;6.97
753;c;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.781403841;91.95;9.706880014;7.17
751;c;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.882183223;91.95;10.9587978;7.6
741;e;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;1.378321;91.95;17.122;7.96
747;c;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.979094647;91.95;12.16266643;7.99
746;b;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.98164864;91.95;12.19439304;8
745;c;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;0.991899206;91.95;12.32172927;8.04
743;b;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;1.02559606;91.95;12.74032372;8.17
742;b;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;1.113766069;91.95;13.83560334;8.5
740;a;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;1.5728895;91.95;19.539;12.82
1487;c;1;23/07/07;acquatina;40.436833;18.247778;Mollusca;Gastropoda;Cerithiidae;[unassigned] Caenogastropoda;Bittium reticulatum;Bittium reticulatum;;;;
1489;c;1;23/07/07;acquatina;40.436833;18.247778;;;;;Bivalvia;Bivalvia;;;;
1508;e;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;0.834028864;58.96;2.032234073;1.94
1507;b;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;0.870709591;58.96;2.121612063;1.99
1506;d;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;0.953663036;58.96;2.323740342;2.1
1504;b;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;1.237738072;58.96;3.015930975;2.45
1503;e;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;1.280763568;58.96;3.120768928;2.5
1502;d;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;1.298141725;58.96;3.163113366;2.52
1500;d;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;1.431509987;58.96;3.488084763;2.67
1499;e;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;1.763100132;58.96;4.296052954;3.02
1498;c;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;2.2793616;58.96;5.554;3.68
1496;d;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;3.956213492;58.96;9.639896423;4.87
1495;e;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;4.192607859;58.96;10.21590609;5.04
1491;b;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Portunidae;Decapoda;Carcinus mediterraneus;Carcinus mediterraneus;18.31364224;58.96;44.62388459;12.05
4120;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;0.033744;57.82;0.08;1.54
4117;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;0.2450658;57.82;0.581;1.69
4118;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;0.2210232;57.82;0.524;2.07
4119;d;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;0.2075256;57.82;0.492;2.47
4109;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;0.603174;57.82;1.43;2.89
4107;d;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.176822;57.82;2.79;3.94
4097;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.8150054;57.82;4.303;3.95
4096;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.8487494;57.82;4.383;4.06
4089;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;2.3616582;57.82;5.599;4.18
4090;c;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;2.1916728;57.82;5.196;4.28
4088;c;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;2.4413784;57.82;5.788;4.32
4101;d;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.670328;57.82;3.96;4.34
4099;c;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.782105;57.82;4.225;4.51
4104;d;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.3168596;57.82;3.122;4.59
4100;d;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.7766216;57.82;4.212;4.96
4102;b;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.609167;57.82;3.815;5.13
4092;c;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;2.0887536;57.82;4.952;5.28
4098;c;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.8133182;57.82;4.299;5.49
4108;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.1384382;57.82;2.699;5.65
4002;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;13.8848124;57.82;32.918;5.7
4081;c;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.3482484;57.82;7.938;5.9
4083;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.1694052;57.82;7.514;6.31
4087;d;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;2.6223306;57.82;6.217;6.47
4077;a;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.745802156;57.82;8.880517202;6.49
4085;b;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;2.7973776;57.82;6.632;6.6
4078;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.528357;57.82;8.365;6.62
4082;b;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.2335188;57.82;7.666;6.73
4041;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;5.9638302;57.82;14.139;6.99
4069;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;4.1985972;57.82;9.954;7.08
4033;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;7.4962296;57.82;17.772;7.18
4073;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.813072;57.82;9.04;7.28
4106;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;1.2101442;57.82;2.869;7.39
4076;a;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.781437;57.82;8.965;7.68
4067;d;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;4.355085;57.82;10.325;7.79
4071;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;3.9033372;57.82;9.254;7.92
4035;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;7.2667704;57.82;17.228;8.05
4026;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;8.8122456;57.82;20.892;8.08
4044;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;5.7803472;57.82;13.704;8.09
4020;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;9.3521496;57.82;22.172;8.12
4027;c;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;8.3680902;57.82;19.839;8.14
4025;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;8.8611744;57.82;21.008;8.21
4038;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;6.603279;57.82;15.655;8.22
4010;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;12.542223;57.82;29.735;8.27
4021;c;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;9.0859938;57.82;21.541;8.36
4066;c;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;4.479516;57.82;10.62;8.48
4037;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;6.7563924;57.82;16.018;8.54
4053;d;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;5.266173;57.82;12.485;8.56
4056;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;5.236647;57.82;12.415;8.57
4058;c;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;5.0780502;57.82;12.039;8.65
3998;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;14.8688718;57.82;35.251;8.66
4031;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;7.6033668;57.82;18.026;8.69
4050;b;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;5.403258;57.82;12.81;8.72
4030;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;7.685196;57.82;18.22;8.89
4034;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;7.2958746;57.82;17.297;9.26
4012;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;11.6994666;57.82;27.737;9.34
3997;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;15.4370364;57.82;36.598;9.38
4042;b;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;5.9212284;57.82;14.038;9.45
4006;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;13.0732692;57.82;30.994;9.79
4029;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;8.0702994;57.82;19.133;9.83
4023;b;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;8.906307;57.82;21.115;9.84
3996;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;16.4991288;57.82;39.116;9.85
4048;d;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;5.5922244;57.82;13.258;9.89
4022;c;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;8.9708424;57.82;21.268;9.95
4011;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;11.7150732;57.82;27.774;10.02
4017;b;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;9.5828742;57.82;22.719;10.19
4016;b;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;10.266612;57.82;24.34;10.22
3994;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;17.8277988;57.82;42.266;10.36
4007;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;12.9859566;57.82;30.787;10.38
4005;d;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;13.0741128;57.82;30.996;10.61
4008;c;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;12.81850148;57.82;30.38999876;10.7
3995;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;16.7690808;57.82;39.756;10.76
4001;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;14.0936034;57.82;33.413;10.81
4052;e;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;5.2986516;57.82;12.562;10.97
4013;b;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;10.9592076;57.82;25.982;11.1
4009;b;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;12.729924;57.82;30.18;11.25
4003;d;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;13.7734572;57.82;32.654;11.4
3990;c;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;20.6804322;57.82;49.029;11.65
3992;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;19.27740709;57.82;45.70271952;12.63
4062;c;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Sphaeromatidae;Isopoda;Cymodoce truncata;Cymodoce truncata;4.7650746;57.82;11.297;
4288;c;3;23/07/07;acquatina;40.441806;18.240306;Arthropoda;Malacostraca;Dexaminidae;Amphipoda;Dexamine spinosa;Dexamine spinosa;0.0662921;20.13;0.083;3.46
4182;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Dexaminidae;Amphipoda;Dexamine spinosa;Dexamine spinosa;0.3027073;20.13;0.379;7.36
5904;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.014686052;24.03;0.019331384;2.13
5843;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.023674921;24.03;0.031163513;2.55
5822;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.030921563;24.03;0.040702333;2.82
5815;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.031802067;24.03;0.041861349;2.85
5808;b;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.03611718;24.03;0.047541372;2.99
5802;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.038738226;24.03;0.050991478;3.07
5779;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.046923296;24.03;0.06176556;3.3
5761;b;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.054437;24.03;0.071655916;3.49
5759;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.054851842;24.03;0.072201977;3.5
5743;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.064481786;24.03;0.084877959;3.72
5740;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.064942727;24.03;0.0854847;3.73
5732;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.068226845;24.03;0.089807615;3.8
5731;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.069183765;24.03;0.091067218;3.82
5728;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.069665343;24.03;0.091701123;3.83
5725;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.072598685;24.03;0.095562307;3.89
5711;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.078693423;24.03;0.103584867;4.01
5703;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.085097293;24.03;0.112014339;4.13
5702;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.086195082;24.03;0.113459369;4.15
5698;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.086747268;24.03;0.114186216;4.16
5686;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.097065964;24.03;0.127768809;4.34
5678;e;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.105596963;24.03;0.13899824;4.48
5674;a;4;23/07/07;acquatina;40.448167;18.233028;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.108752897;24.03;0.143152424;4.53
5669;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.112616772;24.03;0.148238478;4.59
5659;b;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.120598484;24.03;0.158744878;4.71
5638;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.149716149;24.03;0.197072725;5.11
5600;e;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.212404567;24.03;0.279590058;5.83
5596;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.218254088;24.03;0.287289835;5.89
5577;c;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.250073887;24.03;0.329174525;6.2
5576;a;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.25437753;24.03;0.33483945;6.24
5532;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.350332163;24.03;0.461145404;7.04
5533;e;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.350332163;24.03;0.461145404;7.04
5530;d;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.356972804;24.03;0.469886539;7.09
5517;c;2;23/07/07;acquatina;40.441583;18.242111;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.392767615;24.03;0.517003573;7.35
5508;c;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.40421283;24.03;0.532069014;7.43
5509;e;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.40421283;24.03;0.532069014;7.43
5506;e;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.411470386;24.03;0.541622201;7.48
5485;c;1;23/07/07;acquatina;40.436833;18.247778;Arthropoda;Malacostraca;Gammaridae;Amphipoda;Gammarus insensibilis;Gammarus insensibilis;0.447435519;24.03;0.588963432;7.72
