"catalogNumber","decimalLatitude","decimalLongitude","eventDate","eventTime","kingdom","phylum","class","order","family","genus","scientificName","acceptedNameUsage","scientificNameAuthorship","acceptedNameUsageID","nestCount","breedingPairs"
79,42.573501,27.623486,"2022/06/09","7:18:23","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",4,4
80,42.578638,27.610898,"2022/06/09","8:13:44","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",2,2
81,42.623868,27.633164,"2022/06/09","8:21:08","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",1,1
82,42.567027,27.632037,"2022/05/21","8:44:18","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",2,2
83,42.566808,27.625459,"2022/06/09","10:53:44","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",6,6
84,42.567751,27.622386,"2022/06/09","9:41:12","Animalia","Chordata","Aves","Charadriiformes","Recurvirostridae","Himantopus","Himantopus himantopus","Himantopus himantopus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/3LXZ5",2,2
85,42.58844406,27.62048897,"2022/06/09","8:56:28","Animalia","Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna tadorna","Tadorna tadorna","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/54GHV",2,2
86,42.58883491,27.61882139,"2022/06/09","9:06:15","Animalia","Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna tadorna","Tadorna tadorna","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/54GHV",2,2
87,42.587344,27.620525,"2022/06/09","9:16:21","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mareca","Anas strepera","Mareca strepera","strepera (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/B76F3",1,1
88,42.614944,27.629498,"2022/06/09","9:13:18","Animalia","Chordata","Aves","Charadriiformes","Haematopodidae","Haematopus","Haematopus ostralegus","Haematopus ostralegus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/3J8XQ",1,1
89,42.57997,27.62449,"2022/06/09","9:24:28","Animalia","Chordata","Aves","Anseriformes","Anatidae","Mareca","Anas strepera","Mareca strepera","strepera (Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/B76F3",1,1
90,42.61385,27.6224,"2022/06/09","10:23:29","Animalia","Chordata","Aves","Anseriformes","Anatidae","Tadorna","Tadorna tadorna","Tadorna tadorna","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/54GHV",1,1
91,42.590522,27.612973,"2022/06/09","10:16:24","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor","Cygnus olor","(J. F. Gmelin, 1789)","https://www.catalogueoflife.org/data/taxon/32ZQB",1,1
92,42.592171,27.615598,"2022/06/09","10:21:47","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Circus","Circus aeroginosus","Circus aeruginosus","(Linnaeus, 1758)","https://www.catalogueoflife.org/data/taxon/5Z6WQ",1,1
93,42.591174,27.617873,"2022/06/09","10:46:28","Animalia","Chordata","Aves","Anseriformes","Anatidae","Cygnus","Cygnus olor","Cygnus olor","(J. F. Gmelin, 1789)","https://www.catalogueoflife.org/data/taxon/32ZQB",1,1
