"catalogNumber","decimalLatitude","decimalLongitude","eventDate","eventTime","kingdom","phylum","class","order","family","genus","scientificName","acceptedNameUsage","scientificNameAuthorship","acceptedNameUsageID","nestCount","breedingPairs"
12,42.59532,27.623263,"2021/07/14","9:46:21","Animalia","Chordata","Aves","Charadriiformes","Glareolidae","Glareola","Glareola pratincola","Glareola pratincola","(Linnaeus, 1766)","https://www.catalogueoflife.org/data/taxon/3G5XG",0,30
13,42.627236,27.627557,"2021/07/14","10:21:38","Animalia","Chordata","Aves","Charadriiformes","Glareolidae","Glareola","Glareola pratincola","Glareola pratincola","(Linnaeus, 1766)","https://www.catalogueoflife.org/data/taxon/3G5XG",0,20
14,42.6080345,27.6240077,"2021/05/26","10:58:42","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","Charadrius dubius","Scopoli, 1786","https://www.catalogueoflife.org/data/taxon/5XPL5",0,1
15,42.62320214,27.63429162,"2021/05/26","11:05:02","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","Charadrius dubius","Scopoli, 1786","https://www.catalogueoflife.org/data/taxon/5XPL5",0,1
16,42.61779766,27.6324896,"2021/05/26","11:18:27","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius dubius","Charadrius dubius","Scopoli, 1786","https://www.catalogueoflife.org/data/taxon/5XPL5",0,2
17,42.57576325,27.62401616,"2021/05/25","8:24:26","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",0,1
18,42.6080345,27.6240077,"2021/05/26","11:21:42","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",0,2
19,42.61754754,27.62923633,"2021/05/26","11:28:14","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",0,1
20,42.61759959,27.62736943,"2021/05/26","11:32:12","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",0,2
21,42.62026655,27.62917095,"2021/05/26","11:41:21","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",0,1
22,42.62320214,27.63429162,"2021/05/26","11:53:24","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",0,1
23,42.61779766,27.6324896,"2021/05/26","12:02:23","Animalia","Chordata","Aves","Charadriiformes","Charadriidae","Charadrius","Charadrius alexandrinus","Charadrius alexandrinus","Linnaeus, 1758","https://www.catalogueoflife.org/data/taxon/TMWL",0,1
